project,geo,samplingdate,Region,seroprev_est,seroprev_lo95,seroprev_hi95,sero_denom,miss_denom,ab_target,interpretation,adjust_assay,adjust_pop
CBS,AB,3/27/2022,Western,0.3997,0.3676,0.4318,1647,0,N,infection-induced,1,1
CBS,AB,4/4/2022,Western,0.4174,0.3863,0.4485,1409,0,N,infection-induced,1,1
CBS,AB,4/11/2022,Western,0.4408,0.4117,0.47,1610,0,N,infection-induced,1,1
CBS,AB,4/20/2022,Western,0.4997,0.47,0.5294,1456,0,N,infection-induced,1,1
CBS,AB,4/27/2022,Western,0.5008,0.4713,0.5302,1447,0,N,infection-induced,1,1
CBS,AB,5/4/2022,Western,0.5276,0.4977,0.5575,1306,0,N,infection-induced,1,1
CBS,AB,5/11/2022,Western,0.5465,0.5189,0.574,1555,0,N,infection-induced,1,1
CBS,AB,5/20/2022,Western,0.5708,0.5447,0.5968,1837,0,N,infection-induced,1,1
CBS,AB,5/28/2022,Western,0.5654,0.5371,0.35938,1604,0,N,infection-induced,1,1
CBS,AB,6/4/2022,Western,0.6081,0.5784,0.6378,1472,0,N,infection-induced,1,1
CBS,AB,6/11/2022,Western,0.6039,0.5775,0.6305,1873,0,N,infection-induced,1,1
CBS,AB,6/20/2022,Western,0.6102,0.5843,0.6362,1923,0,N,infection-induced,1,1
CBS,AB,6/27/2022,Western,0.6023,0.573,0.6317,1503,0,N,infection-induced,1,1
CBS,AB,7/4/2022,Western,0.601,0.5723,0.6297,1445,0,N,infection-induced,1,1
CBS,AB,7/12/2022,Western,0.6168,0.5169,0.645,1495,0,N,infection-induced,1,1
CBS,AB,7/20/2022,Western,0.6224,0.5957,0.649,1605,0,N,infection-induced,1,1
CBS,AB,7/28/2022,Western,0.648,0.6201,0.676,1399,0,N,infection-induced,1,1
CBS,AB,8/4/2022,Western,0.6327,0.6033,0.6621,1348,0,N,infection-induced,1,1
CBS,AB,8/12/2022,Western,0.6561,0.6321,0.6801,1987,0,N,infection-induced,1,1
CBS,AB,8/20/2022,Western,0.6567,0.6309,0.6825,1348,0,N,infection-induced,1,1
CBS,AB,8/28/2022,Western,0.6926,0.6686,0.7166,1833,0,N,infection-induced,1,1
CBS,AB,9/4/2022,Western,0.7062,0.679,0.7334,1522,0,N,infection-induced,1,1
CBS,AB,9/11/2022,Western,0.7102,0.6835,0.7369,1548,0,N,infection-induced,1,1
CBS,AB,9/20/2022,Western,0.7269,0.702,0.7519,1727,0,N,infection-induced,1,1
CBS,AB,9/27/2022,Western,0.7026,0.6744,0.7309,1401,0,N,infection-induced,1,1
CBS,AB,10/4/2022,Western,0.7379,0.7158,0.7682,1472,0,N,infection-induced,1,1
CBS,AB,10/11/2022,Western,0.7118,0.6859,0.7376,1637,0,N,infection-induced,1,1
CBS,AB,10/20/2022,Western,0.7416,0.7151,0.7682,1421,0,N,infection-induced,1,1
CBS,AB,10/28/2022,Western,0.6474,0.6909,0.7708,1792,0,N,infection-induced,1,1
CBS,AB,11/4/2022,Western,0.7562,0.7285,0.7839,1190,0,N,infection-induced,1,1
CBS,AB,11/11/2022,Western,0.6975,0.6745,0.7204,1476,0,N,infection-induced,1,1
CBS,AB,11/20/2022,Western,0.7932,0.7715,0.8149,1762,0,N,infection-induced,1,1
CBS,AB,11/27/2022,Western,0.743,0.7169,0.769,1413,0,N,infection-induced,1,1
CBS,AB,12/4/2022,Western,0.8034,0.7819,0.825,1343,0,N,infection-induced,1,1
CBS,AB,12/11/2022,Western,0.7862,0.7674,0.805,1884,0,N,infection-induced,1,1
CBS,AB,12/20/2022,Western,0.8017,0.7803,0.8231,1921,0,N,infection-induced,1,1
CBS,AB,12/27/2022,Western,0.7907,0.768,0.8134,1796,0,N,infection-induced,1,1
CBS,AB,1/4/2023,Western,0.789,0.7665,0.8115,1734,0,N,infection-induced,1,1
CBS,AB,1/11/2023,Western,0.8195,0.7962,0.8428,1448,0,N,infection-induced,1,1
CBS,AB,1/20/2023,Western,0.8167,0.7959,0.8376,1942,0,N,infection-induced,1,1
CBS,AB,1/27/2023,Western,0.8346,0.7633,0.7903,1739,0,N,infection-induced,1,1
CBS,AB,2/4/2023,Western,0.8183,0.796,0.8405,1595,0,N,infection-induced,1,1
CBS,AB,2/11/2023,Western,0.8203,0.7978,0.8428,1518,0,N,infection-induced,1,1
CBS,AB,2/18/2023,Western,0.8324,0.8113,0.8535,1556,0,N,infection-induced,1,1
CBS,AB,2/25/2023,Western,0.8188,0.7962,0.8414,1486,0,N,infection-induced,1,1
CBS,AB,3/4/2023,Western,0.8153,0.7909,0.8397,1477,0,N,infection-induced,1,1
CBS,AB,3/11/2023,Western,0.8218,0.7982,0.8453,1472,0,N,infection-induced,1,1
CBS,AB,3/18/2023,Western,0.8453,0.8226,0.8681,1363,0,N,infection-induced,1,1
CBS,AB,3/26/2023,Western,0.8249,0.8056,0.8443,2054,0,N,infection-induced,1,1
CBS,AB,4/4/2023,Western,0.8291,0.8076,0.8506,1510,0,N,infection-induced,1,1
CBS,AB,4/11/2023,Western,0.8302,0.8073,0.853,1309,0,N,infection-induced,1,1
CBS,AB,4/18/2023,Western,0.8347,0.812,0.8575,1309,0,N,infection-induced,1,1
CBS,AB,4/26/2023,Western,0.8365,0.8154,0.8576,1447,0,N,infection-induced,1,1
CBS,AB,5/4/2023,Western,0.8153,0.7917,0.8388,1508,0,N,infection-induced,1,1
CBS,AB,5/11/2023,Western,0.8175,0.7944,0.8406,1470,0,N,infection-induced,1,1
CBS,AB,5/18/2023,Western,0.848,0.8248,0.8711,1336,0,N,infection-induced,1,1
CBS,AB,5/27/2023,Western,0.8195,0.7991,0.8399,1953,0,N,infection-induced,1,1
CBS,AB,6/4/2023,Western,0.8246,0.8013,0.8478,1422,0,N,infection-induced,1,1
CBS,AB,6/11/2023,Western,0.8352,0.8137,0.8567,1541,0,N,infection-induced,1,1
CBS,AB,6/18/2023,Western,0.8531,0.832,0.8743,1405,0,N,infection-induced,1,1
CBS,AB,6/27/2023,Western,0.8337,0.8135,0.854,1749,0,N,infection-induced,1,1
CBS,AB,7/4/2023,Western,0.8194,0.7961,0.8426,1300,0,N,infection-induced,1,1
CBS,AB,7/11/2023,Western,0.8258,0.8033,0.8484,1383,0,N,infection-induced,1,1
CBS,AB,7/18/2023,Western,0.8265,0.8031,0.85,1192,0,N,infection-induced,1,1
CBS,AB,7/27/2023,Western,0.8416,0.8226,0.8606,1784,0,N,infection-induced,1,1
CBS,AB,8/4/2023,Western,0.8313,0.8086,0.854,1376,0,N,infection-induced,1,1
CBS,AB,8/11/2023,Western,0.8154,0.7918,0.8391,1355,0,N,infection-induced,1,1
CBS,AB,8/18/2023,Western,0.8009,0.7765,0.8253,1316,0,N,infection-induced,1,1
CBS,AB,8/27/2023,Western,0.8353,0.8163,0.8542,1917,0,N,infection-induced,1,1
CBS,AB,9/4/2023,Western,0.8174,0.795,0.8399,1510,0,N,infection-induced,1,1
CBS,AB,9/11/2023,Western,0.8101,0.7859,0.8343,1298,0,N,infection-induced,1,1
CBS,AB,9/18/2023,Western,0.828,0.805,0.8509,1374,0,N,infection-induced,1,1
CBS,AB,9/27/2023,Western,0.8435,0.8229,0.8642,1547,0,N,infection-induced,1,1
CBS,AB,10/4/2023,Western,0.85,0.83,0.87,1558,0,N,infection-induced,1,1
CBS,AB,10/11/2023,Western,0.8278,0.8042,0.8513,1288,0,N,infection-induced,1,1
CBS,AB,10/18/2023,Western,0.86,0.84,0.88,1464,0,N,infection-induced,1,1
CBS,AB,10/27/2023,Western,0.85,0.83,0.87,1305,0,N,infection-induced,1,1
CBS,AB,11/4/2023,Western,0.8488,0.8249,0.8728,1136,0,N,infection-induced,1,1
CBS,AB,11/11/2023,Western,0.8483,0.8274,0.8692,1464,0,N,infection-induced,1,1
CBS,AB,11/18/2023,Western,0.8652,0.8448,0.8856,1385,0,N,infection-induced,1,1
CBS,AB,11/27/2023,Western,0.8636,0.8459,0.8813,1800,0,N,infection-induced,1,1
CBS,AB,12/4/2023,Western,0.848,0.8267,0.8693,1600,0,N,infection-induced,1,1
CBS,AB,12/11/2023,Western,0.8647,0.8439,0.8854,1555,0,N,infection-induced,1,1
CBS,AB,12/18/2023,Western,0.8576,0.8372,0.8779,1668,0,N,infection-induced,1,1
CBS,AB,12/27/2023,Western,0.8753,0.857,0.8936,1860,0,N,infection-induced,1,1
CBS,AB,1/14/2021,Western,0.0509,0.0445,0.0574,6880,0,S,induced by either,1,1
CBS,AB,3/6/2021,Western,0.109,0.0964,0.122,3191,0,S,induced by either,1,1
CBS,AB,4/21/2021,Western,0.2716,0.2539,0.2892,3138,0,S,induced by either,1,1
CBS,AB,5/28/2021,Western,0.6784,0.6598,0.6971,3207,0,S,induced by either,1,1
CBS,AB,6/21/2021,Western,0.8892,0.8759,0.9024,3591,0,S,induced by either,1,1
CBS,AB,7/18/2021,Western,0.9089,0.8919,0.9259,1746,0,S,induced by either,1,1
CBS,AB,8/20/2021,Western,0.9338,0.9194,0.9481,2049,0,S,induced by either,1,1
CBS,AB,9/19/2021,Western,0.9475,0.9346,0.9605,2100,0,S,induced by either,1,1
CBS,AB,10/18/2021,Western,0.9661,0.9551,0.9771,1733,0,S,induced by either,1,1
CBS,AB,11/18/2021,Western,0.9982,0.9919,1,1484,0,S,induced by either,1,1
CBS,AB,12/22/2021,Western,0.9779,0.9707,0.985,3455,0,S,induced by either,1,1
CBS,AB,1/15/2022,Western,0.9803,0.9753,0.9852,6741,0,S,induced by either,1,1
CBS,AB,2/14/2022,Western,0.9888,0.9843,0.9934,5560,0,S,induced by either,1,1
CBS,AB,3/16/2022,Western,0.9943,0.9901,0.99861,5373,0,S,induced by either,1,1
CBS,AB,4/15/2022,Western,0.9972,0.9936,1,5592,0,S,induced by either,1,1
CBS,AB,5/15/2022,Western,1,0.9992,1,6020,0,S,induced by either,1,1
CBS,AB,6/15/2022,Western,1,0.9991,1,6415,0,S,induced by either,1,1
CBS,AB,7/16/2022,Western,1,1,1,5637,0,S,induced by either,1,1
CBS,AB,8/15/2022,Western,1,1,1,6477,0,S,induced by either,1,1
CBS,AB,9/15/2022,Western,1,1,1,6084,0,S,induced by either,1,1
CBS,AB,10/15/2022,Western,1,1,1,5961,0,S,induced by either,1,1
CBS,AB,11/15/2022,Western,1,1,1,5640,0,S,induced by either,1,1
CBS,AB,12/15/2022,Western,1,1,1,5190,0,S,induced by either,1,1
CBS,AB,1/15/2023,Western,1,1,1,6128,0,S,induced by either,1,1
CBS,AB,2/15/2023,Western,1,1,1,5878,0,S,induced by either,1,1
CBS,AB,3/15/2023,Western,1,1,1,6366,0,S,induced by either,1,1
CBS,AB,4/15/2023,Western,1,1,1,5575,0,S,induced by either,1,1
CBS,AB,5/15/2023,Western,1,1,1,5953,0,S,induced by either,1,1
CBS,AB,6/15/2023,Western,1,1,1,5450,0,S,induced by either,1,1
CBS,AB,7/15/2023,Western,1,1,1,5672,0,S,induced by either,1,1
CBS,AB,8/15/2023,Western,1,1,1,5367,0,S,induced by either,1,1
CBS,AB,9/15/2023,Western,1,1,1,5652,0,S,induced by either,1,1
CBS,AB,10/15/2023,Western,1,1,1,5615,0,S,induced by either,1,1
CBS,AB,11/15/2023,Western,1,1,1,5785,0,S,induced by either,1,1
CBS,AB,12/15/2023,Western,1,1,1,6683,0,S,induced by either,1,1
CCAHS,AB,2/1/2021,Western,0.04,0.026,0.057,313,1,N,infection-induced,NA,NA
CCAHS,AB,4/24/2022,Western,0.5086,0.4634,0.5538,536,0,N,infection-induced,NA,NA
CCAHS,AB,6/3/2022,Western,0.566,0.5223,0.6097,517,0,N,infection-induced,NA,NA
CCAHS,AB,6/28/2022,Western,0.6406,0.5956,0.6856,514,0,N,infection-induced,NA,NA
CCAHS,AB,2/1/2021,Western,0.056,0.04,0.074,702,1,S,induced by either,NA,NA
JHA,AB,1/31/2021,Western,0.054,NA,NA,1143,0,N,infection-induced,0,1
CCAHS,AT,2/1/2021,Atlantic,0.005,0,0.007,1560,1,N,infection-induced,NA,NA
CCAHS,AT,2/1/2021,Atlantic,0.013,0.003,0.018,876,1,S,induced by either,NA,NA
CLSA,AT,12/1/2020,Atlantic,0.018,NA,NA,200,1,S,induced by either,NA,NA
CLSA,AT,3/16/2021,Atlantic,0.21,NA,NA,200,1,S,induced by either,NA,NA
CLSA,AT,7/1/2021,Atlantic,0.803,NA,NA,200,1,S,induced by either,NA,NA
CNPTH,AT,3/15/2021,Atlantic,0.035,NA,NA,85,0,N,infection-induced,0,0
CNPTH,AT,4/15/2021,Atlantic,0.013,NA,NA,910,0,N,infection-induced,0,0
CNPTH,AT,5/15/2021,Atlantic,0.016,NA,NA,1485,0,N,infection-induced,0,0
CNPTH,AT,6/15/2021,Atlantic,0.016,NA,NA,707,0,N,infection-induced,0,0
CNPTH,AT,8/1/2021,Atlantic,0.0163,NA,NA,121,0,N,infection-induced,0,0
CNPTH,AT,10/1/2021,Atlantic,0.0511,NA,NA,350,0,N,infection-induced,0,0
CNPTH,AT,11/15/2021,Atlantic,0.082,NA,NA,73,0,N,infection-induced,0,0
CNPTH,AT,12/7/2021,Atlantic,0.083,NA,NA,12,0,N,infection-induced,0,0
CNPTH,AT,3/15/2022,Atlantic,0.219,NA,NA,862,0,N,infection-induced,0,0
CNPTH,AT,4/15/2022,Atlantic,0.229,NA,NA,690,0,N,infection-induced,0,0
CNPTH,AT,5/15/2022,Atlantic,0.264,NA,NA,356,0,N,infection-induced,0,0
CNPTH,AT,6/15/2022,Atlantic,0.301,NA,NA,113,0,N,infection-induced,0,0
CNPTH,AT,8/15/2022,Atlantic,0.357142857,NA,NA,42,0,N,infection-induced,0,0
CNPTH,AT,3/15/2021,Atlantic,0.059,NA,NA,85,0,S,induced by either,0,0
CNPTH,AT,4/15/2021,Atlantic,0.26,NA,NA,910,0,S,induced by either,0,0
CNPTH,AT,5/15/2021,Atlantic,0.667,NA,NA,1485,0,S,induced by either,0,0
CNPTH,AT,6/15/2021,Atlantic,0.779,NA,NA,707,0,S,induced by either,0,0
CNPTH,AT,7/15/2021,Atlantic,0.926,NA,NA,108,0,S,induced by either,0,0
CNPTH,AT,8/1/2021,Atlantic,0.934,NA,NA,121,0,S,induced by either,0,0
CNPTH,AT,10/1/2021,Atlantic,0.98,NA,NA,350,0,S,induced by either,0,0
CNPTH,AT,11/15/2021,Atlantic,1,NA,NA,73,0,S,induced by either,0,0
CNPTH,AT,12/7/2021,Atlantic,1,NA,NA,12,0,S,induced by either,0,0
CNPTH,AT,12/22/2021,Atlantic,1,NA,NA,5,0,S,induced by either,0,0
CNPTH,AT,1/15/2022,Atlantic,1,NA,NA,3,0,S,induced by either,0,0
CNPTH,AT,2/15/2022,Atlantic,1,NA,NA,4,0,S,induced by either,0,0
CNPTH,AT,3/15/2022,Atlantic,0.993,NA,NA,862,0,S,induced by either,0,0
CNPTH,AT,4/15/2022,Atlantic,0.993,NA,NA,690,0,S,induced by either,0,0
CNPTH,AT,5/15/2022,Atlantic,1,NA,NA,356,0,S,induced by either,0,0
CNPTH,AT,6/15/2022,Atlantic,0.991,NA,NA,113,0,S,induced by either,0,0
CNPTH,AT,7/15/2022,Atlantic,1,NA,NA,31,0,S,induced by either,0,0
CNPTH,AT,8/15/2022,Atlantic,1,NA,NA,11,0,S,induced by either,0,0
CNPTH,AT,9/15/2022,Atlantic,1,NA,NA,5,0,S,induced by either,0,0
JHA,AT,1/31/2021,Atlantic,0.028,NA,NA,382,0,N,infection-induced,0,1
ANTE,BC,2/12/2020,Western,0.001,0,0.002,1958,1,N,infection-induced,NA,1
ANTE,BC,9/2/2020,Western,0.003,0.001,0.007,651,1,N,infection-induced,NA,1
ANTE,BC,11/25/2020,Western,0.0187,NA,NA,2804,0,N,infection-induced,NA,1
ANTE,BC,11/24/2021,Western,0.035,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,12/19/2021,Western,0.12,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,1/19/2022,Western,0.19,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,2/3/2022,Western,0.25,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,2/10/2022,Western,0.29,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,2/17/2022,Western,0.38,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,2/24/2022,Western,0.5,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,3/3/2022,Western,0.29,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,3/10/2022,Western,0.5,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,3/17/2022,Western,0.48,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,3/24/2022,Western,0.4,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,3/31/2022,Western,0.57,NA,NA,100,1,N,infection-induced,NA,1
ANTE,BC,4/7/2022,Western,0.38,NA,NA,300,1,N,infection-induced,NA,1
ANTE,BC,4/14/2022,Western,0.38,NA,NA,300,1,N,infection-induced,NA,1
ANTE,BC,5/7/2022,Western,0.41,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,6/7/2022,Western,0.43,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,6/14/2022,Western,0.44,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,6/21/2022,Western,0.5,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,6/28/2022,Western,0.49,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,7/6/2022,Western,0.42,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,7/12/2022,Western,0.45,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,7/18/2022,Western,0.47,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,7/24/2022,Western,0.46,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,7/30/2022,Western,0.4,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,8/7/2022,Western,0.47,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,8/14/2022,Western,0.4,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,8/21/2022,Western,0.5,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,8/28/2022,Western,0.5,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,9/7/2022,Western,0.49,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,9/14/2022,Western,0.43,NA,NA,200,1,N,infection-induced,NA,1
ANTE,BC,11/24/2021,Western,0.881,NA,NA,3369,0,S,induced by either,NA,1
BCCDC,BC,3/9/2020,Western,0.0028,3.00E-04,0.0137,869,0,N,infection-induced,0,1
BCCDC,BC,5/21/2020,Western,0.0055,0.0015,0.015,885,0,N,infection-induced,0,1
BCCDC,BC,9/23/2020,Western,0.01,NA,NA,2000,0,N,infection-induced,0,1
BCCDC,BC,1/21/2021,Western,0.04,NA,NA,1999,0,N,infection-induced,0,1
BCCDC,BC,6/5/2021,Western,0.1,NA,NA,1991,0,N,infection-induced,0,1
BCCDC,BC,10/2/2021,Western,0.09,NA,NA,1990,0,N,infection-induced,0,1
BCCDC,BC,3/19/2022,Western,0.42,NA,NA,2000,0,N,infection-induced,0,1
BCCDC,BC,8/5/2022,Western,0.61,NA,NA,2000,0,N,infection-induced,0,1
BCCDC,BC,6/5/2021,Western,0.56,NA,NA,1991,0,S,induced by either,0,1
BCCDC,BC,10/2/2021,Western,0.83,NA,NA,1990,0,S,induced by either,0,1
BCCDC,BC,3/19/2022,Western,0.95,NA,NA,2000,0,S,induced by either,0,1
BCCDC,BC,8/5/2022,Western,0.97,NA,NA,2000,0,S,induced by either,0,1
CBS,BC,6/14/2020,Western,0.0056,0.0041,0.007,13309,0,N,infection-induced,1,1
CBS,BC,10/21/2020,Western,0.0086,0.005,0.0123,607,0,N,infection-induced,1,1
CBS,BC,11/16/2020,Western,0.0151,0.0104,0.0197,914,0,N,infection-induced,1,1
CBS,BC,12/16/2020,Western,0.0102,0.0065,0.0139,3577,0,N,infection-induced,1,1
CBS,BC,1/14/2021,Western,0.0163,0.0128,0.0197,6192,0,N,infection-induced,1,1
CBS,BC,3/6/2021,Western,0.0211,0.0157,0.0265,2547,0,N,infection-induced,1,1
CBS,BC,4/21/2021,Western,0.024,0.0183,0.0296,2285,0,N,infection-induced,1,1
CBS,BC,5/28/2021,Western,0.0317,0.0253,0.0382,2700,0,N,infection-induced,1,1
CBS,BC,6/21/2021,Western,0.0318,0.0252,0.0383,2670,0,N,infection-induced,1,1
CBS,BC,7/18/2021,Western,0.0393,0.0292,0.0493,1601,0,N,infection-induced,1,1
CBS,BC,8/20/2021,Western,0.0441,0.0339,0.0543,1515,0,N,infection-induced,1,1
CBS,BC,9/19/2021,Western,0.0423,0.0324,0.0523,1626,0,N,infection-induced,1,1
CBS,BC,10/18/2021,Western,0.0468,0.0366,0.057,1576,0,N,infection-induced,1,1
CBS,BC,11/18/2021,Western,0.0463,0.0359,0.0568,1421,0,N,infection-induced,1,1
CBS,BC,12/22/2021,Western,0.0583,0.0498,0.0669,3390,0,N,infection-induced,1,1
CBS,BC,1/4/2022,Western,0.0714,0.0593,0.0835,1756,0,N,infection-induced,1,1
CBS,BC,1/12/2022,Western,0.073,0.0587,0.0872,1192,0,N,infection-induced,1,1
CBS,BC,1/20/2022,Western,0.13,0.1115,0.1484,1115,0,N,infection-induced,1,1
CBS,BC,1/28/2022,Western,0.189,0.169,0.2091,1315,0,N,infection-induced,1,1
CBS,BC,2/4/2022,Western,0.1901,0.1691,0.2112,1101,0,N,infection-induced,1,1
CBS,BC,2/11/2022,Western,0.2732,0.2458,0.3007,834,0,N,infection-induced,1,1
CBS,BC,2/18/2022,Western,0.2584,0.2367,0.2801,1345,0,N,infection-induced,1,1
CBS,BC,2/25/2022,Western,0.287,0.2633,0.3107,1253,0,N,infection-induced,1,1
CBS,BC,3/4/2022,Western,0.2756,0.2503,0.3009,1136,0,N,infection-induced,1,1
CBS,BC,3/11/2022,Western,0.3214,0.2951,0.3477,1138,0,N,infection-induced,1,1
CBS,BC,3/19/2022,Western,0.3481,0.3231,0.3732,1403,0,N,infection-induced,1,1
CBS,BC,3/27/2022,Western,0.3231,0.294,0.3521,1403,0,N,infection-induced,1,1
CBS,BC,4/4/2022,Western,0.3129,0.286,0.3397,1075,0,N,infection-induced,1,1
CBS,BC,4/11/2022,Western,0.3582,0.3324,0.384,1233,0,N,infection-induced,1,1
CBS,BC,4/20/2022,Western,0.375,0.3494,0.4006,1208,0,N,infection-induced,1,1
CBS,BC,4/27/2022,Western,0.405,0.3795,0.4312,1246,0,N,infection-induced,1,1
CBS,BC,5/4/2022,Western,0.4198,0.3933,0.4463,1210,0,N,infection-induced,1,1
