DATE,CASES,HOSP,DEATH
2022-03-04,464,5,1
2022-03-05,371,5,1
2022-03-06,387,2,2
2022-03-07,420,5,0
2022-03-08,660,3,1
2022-03-09,649,6,1
2022-03-10,584,2,2
2022-03-11,611,7,3
2022-03-12,348,4,2
2022-03-13,438,6,2
2022-03-14,500,1,1
2022-03-15,602,12,7
2022-03-16,574,3,4
2022-03-17,635,4,1
2022-03-18,499,9,3
2022-03-19,344,5,2
2022-03-20,378,8,5
2022-03-21,178,1,1
2022-03-22,444,11,6
2022-03-23,396,6,4
2022-03-24,476,8,3
2022-03-25,412,4,2
2022-03-26,418,3,2
2022-03-27,292,5,1
2022-03-28,308,7,1
2022-03-29,545,6,4
2022-03-30,295,4,5
2022-03-31,382,8,7
2022-04-01,305,2,6
2022-04-02,200,8,3
2022-04-03,183,5,1
2022-04-04,217,7,6
2022-04-05,317,3,4
2022-04-06,235,4,0
2022-04-07,370,3,3
2022-04-08,151,2,2
2022-04-09,215,8,1
2022-04-10,165,2,2
2022-04-11,123,3,0
2022-04-12,273,9,2
2022-04-13,171,7,4
2022-04-14,184,5,6
2022-04-15,157,4,2
2022-04-16,96,2,1
2022-04-17,75,2,0
2022-04-18,126,5,0
2022-04-19,213,3,2
2022-04-20,109,1,0
2022-04-21,144,1,0
2022-04-22,152,2,0
2022-04-23,65,2,2
2022-04-24,68,0,1
2022-04-25,91,3,2
2022-04-26,117,4,2
2022-04-27,90,3,0
2022-04-28,88,3,1
2022-04-29,89,4,0
2022-04-30,54,2,2
2022-05-01,38,2,1
2022-05-02,66,0,0
2022-05-03,79,4,2
2022-05-04,77,3,2
2022-05-05,35,2,1
2022-05-06,49,1,1
2022-05-07,26,4,1
2022-05-08,18,1,2
2022-05-09,30,0,2
2022-05-10,30,1,0
2022-05-11,28,3,0
2022-05-12,46,1,1
2022-05-13,32,0,2
2022-05-14,26,2,0
2022-05-15,10,1,1
2022-05-16,32,2,0
2022-05-17,33,2,1
2022-05-18,30,3,1
2022-05-19,36,1,1
2022-05-20,16,0,0
2022-05-21,31,2,0
2022-05-22,33,1,0
2022-05-23,41,3,0
2022-05-24,19,1,0
2022-05-25,45,1,0
2022-05-26,22,1,0
2022-05-27,31,4,0
2022-05-28,21,0,0
2022-05-29,33,1,0
2022-05-30,20,1,1
2022-05-31,29,0,0
2022-06-01,19,0,0
2022-06-02,3,0,0
